Plant,Latitude,Longitude
Bango 973,-34.34, 148.47
Bango 999,-34.34,148.47
Berrybank 2 Wind Farm,-37.94,143.52
Berrybank Wind Farm,-37.94,143.52
Bodangora Wind Farm,-32.39,149.07
Bulgana Green Power Hub,-37.0975,142.973611
Canunda Wind Farm,-37.73,140.39
Cathedral Rocks,34.51,135.35
Cattle Hill Wind Farm,-42.15,146.69
Chepstowe Wind Farm,-37.59,143.51
Cherry Tree Wind Farm,-37.1,145.26
Clarke Creek Wind Farm,-22.85,149.45
Codrington Wind Farm,-38.28,141.96
Collector Wind Farm,-34.87,149.39
Coonooer Bridge Wind Farm,-36.44,143.36
Coopers Gap Wind Farm,-26.74,151.45
Crookwell 2 Wind Farm,-34.52,149.54
Crookwell 3 Wind Farm,-34.52,149.54
Crudine Ridge Wind Farm,-32.97,149.64
Cullerin Range Wind Farm,-34.81,149.4
Diapur Wind Farm,-36.3425,141.43
Dulacca Wind Farm,-26.63,149.87
Dundonnell Wind Farm,-37.52,142.58
Elaine Wind Farm,-37.36,144
Ferguson North Wind Farm,-38.609722,143.178889
Ferguson South Wind Farm,-38.609722,143.178889
Flyers Creek Wind Farm,-33.365556,148.981944
Golden Plains Wind Farm East,-37.945091,143.752614
Goyder South Wind Farm,-33.45,138.55
Granville Harbour Wind Farm,-41.8,145.06
Gullen Range Wind Farm,-34.34,149.27
Gunning Wind Farm,-34.813333,149.4
Hallett 1 Wind Farm,-33.367778,138.728611
Hallett 2 Wind Farm,-33.367778,138.728611
Hawkesdale Wind Farm,-38.147894,142.361381
Hepburn Community Wind Farm,-37.34,144.14
Hornsdale Wind Farm 2,-33.06,138.54
Hornsdale Wind Farm 3,-33.06,138.54
Kennedy Energy Park,-20.88,144.42
Kiata Wind Farm,-36.4,141.75
Lake Bonney Stage 2 Windfarm,-37.76,140.4
Lake Bonney Stage 3 Windfarm,-37.76,140.4
Lake Bonney Wind Farm Stage 1,-37.76,140.4
MacIntyre Wind Farm,-28.32,151.54
Maroona Wind Farm,-37.43,142.82
Moorabool Wind Farm,-37.42,144.12
Mortlake South Wind Farm,-38.127337,142.857801
Mortons Lane Wind Farm,-37.84,142.45
Mt Gellibrand Wind Farm,-38.23,143.77
Mt Mercer Wind Farm,-37.841111,143.871111
Mt Millar Wind Farm,-33.624444,136.703611
Murra Warra Wind Farm Stage 2,-36.43,142.32
North Brown Hill Wind Farm,-33.367778,138.728611
Port Augusta Renewable Energy Park,-32.566944,137.856111
Ryan Corner Wind Farm,-38.271017,142.140647
Rye Park Renewable Energy,-32.138333,148.972778
Salt Creek Wind Farm,-37.95,142.63
Sapphire Wind Farm,-29.7,151.41
Snowtown South Wind Farm,-33.83,138.118611
Snowtown Wind Farm Stage 2 North,-33.83,138.118611
Snowtown Wind Farm Units 1 And 47,-33.83,138.118611
Starfish Hill Wind Farm,-35.58,138.14
Stockyard Hill Wind Farm,-37.535833,143.251389
The Bluff Wind Farm,-33.367778,138.728611
Timboon West Wind Farm,-38.528271,142.916728
Toora Wind Farm,-38.644722,146.346944
White Rock Wind Farm,-29.79,151.54
Willogoleche Wind Farm,-33.39,138.85
Windy Hill Wind Farm,-17.592222,145.530556
Wonthaggi Wind Farm,-38.603056,145.540556
Woodlawn Wind Farm,-35.08,149.62
Woolnorth Studland Bay / Bluff Point Wind Farm,-40.69,144.72
Ararat Wind Farm,-37.232778,143.031389
Bald Hills Wind Farm,-38.79,145.93
Boco Rock Wind Farm,-36.578611,149.103333
Bodangora Wind Farm,-32.39,149.06
Bulgana Wind Farm,-37.232778,143.031389
Capital Wind Farm,-35.1,149.31
Cathedral Rocks Wind Farm,-34.51,135.35
Cattle Hill Wind Farm[4],-42.15,146.69
Challicum Hills Wind Farm,-37.38,143.11
Clements Gap Wind Farm,-33.48,138.1
Collector Wind Farm[5][6],-34.87,149.39
Collgar Wind Farm,-31.543056,118.454722
Coopers Gap Wind Farm[7],-26.55,151.33
Crowlands Wind Farm,-37.13,143.16
Dulacca Wind Farm[8],-26.63,149.87
Emu Downs Wind Farm,-31.543056,118.454722
Granville Harbour Wind Farm[9],-41.8,145.06
Gullen Range Wind Farm[10],-34.560556,149.421944
Hallett Group,-33.367778,138.728611
Hornsdale Wind Farm,-33.050556,138.543611
Kaban Wind Farm,-17.56,145.41
Lake Bonney Group,-37.76,140.4
Lal Lal Wind Farm,-37.65,143.88
Waubra Wind Farm,-37.394498,143.638982
Yambuk Wind Farm,-38.299083,142.027577
Yaloak South Wind Farm,-37.7163,144.242853
Bango 973 Wind Farm,-34.551582,148.732808
Bango 999 Wind Farm,-34.551582,148.732808
Bodangora Wind Farm,-32.407006,149.041883
Collector Wind Farm 1,-34.8719,149.3967
Goyder South Wind Farm 1A,-33.679758,138.937597
Goyder South Wind Farm 1B,-33.679758,138.937597
Lincoln Gap Wind Farm,-32.564279,137.557328
Lincoln Gap Wind Farm,-32.564279,137.557328
Lake Bonney Stage 3 Wind Farm,-37.737781,140.388137
Macarthur Wind Farm,-38.048957,142.192112
Mount Emerald Wind Farm,-17.133007,145.380644
Moorabool Wind Farm,-37.739318,144.172517
Musselroe Wind Farm,-40.780225,148.010799
Murra Warra Wind Farm,-36.432404,142.317853
Oaklands Hill Wind Farm,-37.683078,142.551678
Silverton Wind Farm,-37.683168,142.551678
Taralga Wind Farm,-34.42352,149.826267
Wambo Wind Farm 1,-35.187301,149.524945
Waterloo Wind Farm,-34.00094,138.911567
Wattle Point Wind Farm,-35.111624,137.7219
Yendon Wind Farm,-37.629987,144.022717
