SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Fuel Source - Primary,SCADAVALUE,MAX_CAP,utilisation_pct,REGION_RRP,Latitude,Longitude,Plant
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Capital Wind Farm (CAPTL_WF),Capital Wind Farm,CAPTL_WF,NSW1,Iberdrola Australia Holdings Pty Limited,Wind,104.66,140.0,74.76,51.95,-35.1,149.31,Capital Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Challicum Hills Wind Farm (CHALLHWF),Challicum Hills Wind Farm,CHALLHWF,VIC1,Pacific Hydro Challicum Hills Pty Ltd,Wind,5.0,52.0,9.62,-1.0997,-37.38,143.11,Challicum Hills Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Cullerin Range Wind Farm (CULLRGWF),Cullerin Range Wind Farm,CULLRGWF,NSW1,Cullerin Range Wind Farm Pty Ltd,Wind,20.18,30.0,67.27,51.95,-34.81,149.4,Cullerin Range Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Diapur Wind Farm (DIAPURWF1),Diapur Wind Farm,DIAPURWF1,VIC1,Y.E.S. Energy (SA) Pty Ltd,Wind,7.3,7.0,104.29,-1.0997,-36.3425,141.43,Diapur Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Mortons Lane Wind Farm (MLWF1),Mortons Lane Wind Farm,MLWF1,VIC1,Mortons Lane Windfarm Pty Limited,Wind,13.46,20.0,67.3,-1.0997,-37.84,142.45,Mortons Lane Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Waubra Wind Farm (WAUBRAWF),Waubra Wind Farm,WAUBRAWF,VIC1,Pyrenees Wind Energy Developments Pty Ltd,Wind,24.78,192.0,12.91,-1.0997,-37.394498,143.638982,Waubra Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Woolnorth Studland Bay / Bluff Point Wind Farm (WOOLNTH1),Woolnorth Studland Bay / Bluff Point Wind Farm,WOOLNTH1,TAS1,Hydro-Electric Corporation,Wind,113.21,140.0,80.86,20.11158,-40.69,144.72,Woolnorth Studland Bay / Bluff Point Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Yambuk Wind Farm (YAMBUKWF),Yambuk Wind Farm,YAMBUKWF,VIC1,Energy Pacific (Vic) Pty Ltd,Wind,14.4,30.0,48.0,-1.0997,-38.299083,142.027577,Yambuk Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Yaloak South Wind Farm (YSWF1),Yaloak South Wind Farm,YSWF1,VIC1,Pacific Hydro Yaloak South Pty Ltd,Wind,22.3,28.0,79.64,-1.0997,-37.7163,144.242853,Yaloak South Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,8.1,241.0,3.36,-1.0997,-37.232778,143.031389,Ararat Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,78.06,106.0,73.64,-1.0997,-38.79,145.93,Bald Hills Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,66.7,155.0,43.03,51.95,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,26.6,82.0,32.44,51.95,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,23.8,53.0,44.91,119.66,-33.367778,138.728611,The Bluff Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,24.01,111.0,21.63,51.95,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,159.38,175.9,90.61,-1.0997,-37.94,143.52,Berrybank Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Berrybank 2 Wind Farm (BRYB2WF2),Berrybank 2 Wind Farm,BRYB2WF2,VIC1,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Wind,86.7,105.0,82.57,-1.0997,-37.94,143.52,Berrybank 2 Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Bulgana Green Power Hub (BULGANA1),Bulgana Green Power Hub,BULGANA1,VIC1,Bulgana Wind Farm Pty Ltd,Wind,21.85,204.0,10.71,-1.0997,-37.0975,142.973611,Bulgana Green Power Hub
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Cathedral Rocks (CATHROCK),Cathedral Rocks,CATHROCK,SA1,Cathedral Rocks Wind Farm Pty Ltd,Wind,24.2,66.0,36.67,119.66,-34.51,135.35,Cathedral Rocks
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Cherry Tree Wind Farm (CHYTWF1),Cherry Tree Wind Farm,CHYTWF1,VIC1,Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust ,Wind,4.96,57.0,8.7,-1.0997,-37.1,145.26,Cherry Tree Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Clements Gap Wind Farm (CLEMGPWF),Clements Gap Wind Farm,CLEMGPWF,SA1,Pacific Hydro Clements Gap Pty Ltd,Wind,7.71,57.0,13.53,119.66,-33.48,138.1,Clements Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Clarke Creek Wind Farm (CLRKCWF1),Clarke Creek Wind Farm,CLRKCWF1,QLD1,Stanwell Corporation Limited ,Wind,0.0,338.0,0.0,42.99,-22.85,149.45,Clarke Creek Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Clarke Creek Wind Farm (CLRKCWF2),Clarke Creek Wind Farm,CLRKCWF2,QLD1,Stanwell Corporation Limited ,Wind,0.0,101.0,0.0,42.99,-22.85,149.45,Clarke Creek Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Canunda Wind Farm (CNUNDAWF),Canunda Wind Farm,CNUNDAWF,SA1,Canunda Power Pty Ltd,Wind,35.94,46.0,78.13,119.66,-37.73,140.39,Canunda Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Collector Wind Farm 1 (COLWF01),Collector Wind Farm 1,COLWF01,NSW1,Collector Wind Farm Pty Ltd,Wind,113.5,219.0,51.83,51.95,-34.8719,149.3967,Collector Wind Farm 1
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Coopers Gap Wind Farm (COOPGWF1),Coopers Gap Wind Farm,COOPGWF1,QLD1,PARF Company 10 Pty Limited as The Trustee for Coopers Gap Project Trust,Wind,25.68,440.0,5.84,42.99,-26.74,151.45,Coopers Gap Wind Farm
2026-07-14 09:10:00,2026-07-13T23:12:28.035327,Crookwell 2 Wind Farm (CROOKWF2),Crookwell 2 Wind Farm,CROOKWF2,NSW1,Crookwell Development Pty Ltd ,Wind,67.36,91.0,74.02,51.95,-34.52,149.54,Crookwell 2 Wind Farm
