SETTLEMENTDATE,timestamp_utc,asset_label,Station Name,DUID,Region,Participant,Fuel Source - Primary,SCADAVALUE,MAX_CAP,utilisation_pct,REGION_RRP,Latitude,Longitude,Plant
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,0.3,241.0,0.12,149.24,-37.232778,143.031389,Ararat Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,0.5,241.0,0.21,157.42688,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,9.1,241.0,3.78,115.37226,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,3.2,241.0,1.33,119.75,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,8.6,241.0,3.57,115.68785,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,5.5,241.0,2.28,144.14667,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,11.2,241.0,4.65,134.47524,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,8.6,241.0,3.57,94.13484,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,6.1,241.0,2.53,88.83626,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,11.0,241.0,4.56,94.45249,-37.232778,143.031389,Ararat Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Ararat Wind Farm (ARWF1),Ararat Wind Farm,ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Wind,38.6,241.0,16.02,104.49341,-37.232778,143.031389,Ararat Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,7.85,106.0,7.41,149.24,-38.79,145.93,Bald Hills Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.06,106.0,0.06,157.42688,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.0,106.0,0.0,115.37226,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.0,106.0,0.0,119.75,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.52,106.0,0.49,115.68785,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,6.63,106.0,6.25,144.14667,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,3.46,106.0,3.26,134.47524,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,4.18,106.0,3.94,94.13484,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.0,106.0,0.0,88.83626,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.0,106.0,0.0,94.45249,-38.79,145.93,Bald Hills Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Bald Hills Wind Farm (BALDHWF1),Bald Hills Wind Farm,BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Wind,0.0,106.0,0.0,104.49341,-38.79,145.93,Bald Hills Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,26.9,155.0,17.35,142.29262,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,37.4,155.0,24.13,142.87655,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,25.8,155.0,16.65,109.33028,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,28.2,155.0,18.19,116.88113,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,27.6,155.0,17.81,111.01,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,25.0,155.0,16.13,143.9,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,20.8,155.0,13.42,128.9,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,8.8,155.0,5.68,92.14336,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,1.2,155.0,0.77,65.52838,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,0.0,155.0,0.0,97.63,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Bango 973 Wind Farm (BANGOWF1),Bango 973 Wind Farm,BANGOWF1,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,7.6,155.0,4.9,121.09,-34.551582,148.732808,Bango 973 Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,20.7,82.0,25.24,142.29262,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,16.2,82.0,19.76,142.87655,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,14.2,82.0,17.32,109.33028,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,16.8,82.0,20.49,116.88113,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,22.9,82.0,27.93,111.01,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,19.2,82.0,23.41,143.9,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,10.0,82.0,12.2,128.9,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,6.8,82.0,8.29,92.14336,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,1.4,82.0,1.71,65.52838,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,0.0,82.0,0.0,97.63,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Bango 999 Wind Farm (BANGOWF2),Bango 999 Wind Farm,BANGOWF2,NSW1,BWF Nominees Pty Ltd as The Trustee for BWF Trust,Wind,5.7,82.0,6.95,121.09,-34.551582,148.732808,Bango 999 Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,6.9,53.0,13.02,153.9726,-33.367778,138.728611,The Bluff Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,2.7,53.0,5.09,157.32,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,8.0,53.0,15.09,124.18,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,1.1,53.0,2.08,134.92113,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,1.7,53.0,3.21,123.73445,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,4.6,53.0,8.68,140.74926,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,6.9,53.0,13.02,138.14009,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,3.3,53.0,6.23,97.20787,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,0.0,53.0,0.0,90.44,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,0.0,53.0,0.0,93.03438,-33.367778,138.728611,The Bluff Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,The Bluff Wind Farm (BLUFF1),The Bluff Wind Farm,BLUFF1,SA1,AGL SA Generation Pty Limited,Wind,0.0,53.0,0.0,104.64765,-33.367778,138.728611,The Bluff Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,14.89,111.0,13.41,142.29262,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,10.76,111.0,9.69,142.87655,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,0.75,111.0,0.68,109.33028,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,7.49,111.0,6.75,116.88113,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,10.97,111.0,9.88,111.01,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,7.89,111.0,7.11,143.9,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,2.38,111.0,2.14,128.9,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,7.21,111.0,6.5,92.14336,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,3.95,111.0,3.56,65.52838,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,4.68,111.0,4.22,97.63,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Boco Rock Wind Farm (BOCORWF1),Boco Rock Wind Farm,BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Wind,10.53,111.0,9.49,121.09,-36.578611,149.103333,Boco Rock Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,1.13,175.9,0.64,149.24,-37.94,143.52,Berrybank Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,3.74,175.9,2.13,157.42688,-37.94,143.52,Berrybank Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,19.7,175.9,11.2,115.37226,-37.94,143.52,Berrybank Wind Farm
2026-07-10 03:40:00,2026-07-09T17:43:12.037456,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,8.91,175.9,5.07,119.75,-37.94,143.52,Berrybank Wind Farm
2026-07-10 05:10:00,2026-07-09T19:13:23.247255,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,2.98,175.9,1.69,115.68785,-37.94,143.52,Berrybank Wind Farm
2026-07-10 06:55:00,2026-07-09T20:57:42.741948,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,20.28,175.9,11.53,144.14667,-37.94,143.52,Berrybank Wind Farm
2026-07-10 08:35:00,2026-07-09T22:39:19.091216,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,48.54,175.9,27.6,134.47524,-37.94,143.52,Berrybank Wind Farm
2026-07-10 09:50:00,2026-07-09T23:50:02.374367,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,49.1,175.9,27.91,94.13484,-37.94,143.52,Berrybank Wind Farm
2026-07-10 11:45:00,2026-07-10T01:48:26.045603,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,27.08,175.9,15.4,88.83626,-37.94,143.52,Berrybank Wind Farm
2026-07-10 15:45:00,2026-07-10T05:47:15.264540,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,11.83,175.9,6.73,94.45249,-37.94,143.52,Berrybank Wind Farm
2026-07-10 18:50:00,2026-07-10T08:53:10.478560,Berrybank Wind Farm (BRYB1WF1),Berrybank Wind Farm,BRYB1WF1,VIC1,Berrybank Development Pty Ltd,Wind,56.67,175.9,32.22,104.49341,-37.94,143.52,Berrybank Wind Farm
2026-07-09 20:00:00,2026-07-09T10:04:12.848587,Berrybank 2 Wind Farm (BRYB2WF2),Berrybank 2 Wind Farm,BRYB2WF2,VIC1,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Wind,1.07,105.0,1.02,149.24,-37.94,143.52,Berrybank 2 Wind Farm
2026-07-09 22:35:00,2026-07-09T12:40:21.434322,Berrybank 2 Wind Farm (BRYB2WF2),Berrybank 2 Wind Farm,BRYB2WF2,VIC1,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Wind,0.81,105.0,0.77,157.42688,-37.94,143.52,Berrybank 2 Wind Farm
2026-07-10 01:45:00,2026-07-09T15:46:44.902288,Berrybank 2 Wind Farm (BRYB2WF2),Berrybank 2 Wind Farm,BRYB2WF2,VIC1,Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Wind,9.62,105.0,9.16,115.37226,-37.94,143.52,Berrybank 2 Wind Farm
